toilet_id,station_name,floor,lat,lon,description,features
a6f6bbf8-db94-5109-907e-578af2e3ede9,新中野,不明,0.0,0.0,新中野駅付近のトイレ,
a5af42c2-ac03-53fc-9fcd-fdc6f0bc04dd,東高円寺,不明,0.0,0.0,東高円寺駅付近のトイレ,
T24bd6744,東高円寺,不明,0.0,0.0,東高円寺みんなのトイレ (公衆便所) / 車椅子OK,
Tff7a4651,新高円寺,不明,0.0,0.0,新高円寺駅トイレ(代表) / 車椅子OK / ベビーチェア,
63874097-be74-56ff-afbe-8ecaeeb7bdb5,南阿佐ケ谷,不明,0.0,0.0,南阿佐ケ谷駅付近のトイレ,
77475d4a-e0ad-5fa5-9f5e-383848de26a6,北千住,不明,0.0,0.0,北千住駅付近のトイレ,
617c6de7-86bb-52f4-86ad-b6d34b48d0b5,南千住,不明,0.0,0.0,南千住駅付近のトイレ,
b3fcd329-463b-5679-8228-0731c10db6be,三ノ輪,不明,0.0,0.0,三ノ輪二丁目公衆トイレ,
2ee9012f-6453-5208-9cff-a3ad5551b98c,三ノ輪,不明,0.0,0.0,三ノ輪駅付近のトイレ,
fab46044-b9e9-5a16-91bf-9aaba646783d,三ノ輪,不明,0.0,0.0,三ノ輪交番裏公衆トイレ,
T3b925626,三ノ輪,不明,0.0,0.0,三ノ輪駅付近のトイレ / 車椅子OK,
20965698-e218-571d-9080-92d8c4220ced,入谷,不明,0.0,0.0,北上野一丁目 公衆トイレ,
1b002cfa-2a70-5dda-a98d-94973a6982db,小伝馬町,不明,0.0,0.0,小伝馬町駅付近のトイレ,
0beba699-90ef-5bf5-9397-2c2c5074fa67,人形町,不明,0.0,0.0,人形町駅付近のトイレ,
T4a330e3e,人形町,不明,0.0,0.0,人形町駅付近のトイレ / 車椅子OK,
Tf53f77f0,茅場町,不明,0.0,0.0,茅場町駅付近のトイレ / 車椅子OK,
Ta52c15ba,茅場町,不明,0.0,0.0,茅場町駅付近のトイレ / 車椅子OK / ベビーチェア,
T047a4d27,八丁堀,不明,0.0,0.0,だれでもトイレ / 車椅子OK,
7ad252f6-222a-5e13-aae2-2fcf59ee7579,築地,不明,0.0,0.0,築地駅付近のトイレ,
T40a5ad09,築地,不明,0.0,0.0,築地駅付近のトイレ / 車椅子OK,
c24fd5e6-0f2d-5525-b236-0ade8203029e,東銀座,不明,0.0,0.0,東銀座駅付近のトイレ,
Tf6b3a7b1,日比谷,不明,0.0,0.0,日比谷駅付近のトイレ / 車椅子OK,
eb2e5fe5-29df-5e0b-8f02-2a47d03bc34e,日比谷,不明,0.0,0.0,日比谷駅付近のトイレ,
4584adc5-fff3-5e8b-b289-59cd136fcac0,神谷町,不明,0.0,0.0,神谷町駅付近のトイレ,
d0f3cb23-7090-5270-a778-3f6d271530ff,神谷町,1F,0.0,0.0,神谷町駅付近のトイレ (1階),
5d7f00dc-5e6c-5567-9390-5386eb4e77e1,虎ノ門ヒルズ,不明,0.0,0.0,虎ノ門ヒルズ駅付近のトイレ,
6d8a765c-a563-5806-9ab2-ff27d476b64a,虎ノ門ヒルズ,不明,0.0,0.0,虎ノ門ヒルズ駅付近のトイレ (-2階),
1d4b11b3-c2ac-542a-8156-a9924ddd84d9,虎ノ門ヒルズ,1F,0.0,0.0,虎ノ門ヒルズ駅付近のトイレ (-1階),
0adb0dfd-3037-5022-8514-ec1151eb56a0,六本木,不明,0.0,0.0,六本木駅付近のトイレ,
3adeadda-1835-5c62-866e-3eb4afa1888c,六本木,不明,0.0,0.0,六本木駅付近のトイレ (0階),
